,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0.0,-149.29000000000002,452
1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0.0,-149.29,402
2,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0.0,-148.73999999999998,228
3,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0.0,-148.74,122
4,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0.0,-144.93999999999994,37
5,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0.0,-144.94,721
6,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0.0,-140.74,19
7,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0.0,-140.74,26
8,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0.0,-140.73000000000002,17
9,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0.0,-140.73000000000002,36
10,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0.0,-140.48,46
11,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0.0,-140.48,22
12,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0.0,-139.88,10
13,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0.0,-139.88000000000002,16
14,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0.0,-139.29,16
15,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0.0,-139.29,10
16,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0.0,-138.87,72
17,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0.0,-138.87,51
18,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0.0,-138.86999999999998,121
19,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0.0,-138.87,44
20,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0.05,-138.5,6
21,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0.05,-138.5,61
22,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0.0,-138.50000000000003,12
23,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0.0,-138.5,37
24,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0.0,-138.5,6
25,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0.0,-138.5,47
26,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0.0,-138.45999999999998,8
27,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0.0,-138.45999999999998,159
28,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0.0,-138.41,21
29,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0.0,-138.41,54
30,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0.0,-136.23000000000002,25
31,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0.0,-136.23,19
32,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0.0,-136.02999999999994,3
33,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0.0,-136.03,17
34,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0.0,-135.51000000000002,9
35,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0.0,-135.51000000000002,2
36,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0.0,-135.38999999999996,6
37,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0.0,-135.39000000000001,19
38,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0.0,-135.32,5
39,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0.0,-135.32000000000002,3
40,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0.05,-138.86999999999998,34
41,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0.05,-138.87,3
42,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0.0,-134.75,20
43,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0.0,-134.74999999999997,12
44,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0.0,-134.53,40
45,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0.0,-134.53000000000003,11
46,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0.0,-134.47,28
47,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0.0,-134.46999999999997,28
48,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0.0,-134.34,26
49,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0.0,-134.34000000000003,43
50,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0.0,-134.32000000000002,8
51,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0.0,-134.32,5
52,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0.0,-133.85,38
53,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0.0,-133.85000000000002,18
54,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0.0,-133.81000000000003,26
55,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0.0,-133.80999999999997,3
56,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0.0,-133.62999999999997,33
57,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0.0,-133.63,17
58,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0.0,-133.56,6
59,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0.0,-133.56,2
60,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0.0,-132.98,79
61,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0.0,-132.97999999999996,3
62,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0.05,-138.86999999999998,6
63,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0.05,-138.87,1
64,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0.0,-132.83999999999995,4
