,x_0,x_1,x_2,x_3,x_4,x_5,chain_break_fraction,energy,num_occurrences
0,1,0,1,0,0,1,0.0,-16.8,812
1,0,1,0,1,1,0,0.0,-16.8,1833
2,0,0,1,0,0,1,0.0,-15.79,304
3,1,1,0,1,1,0,0.0,-15.79,682
4,1,0,1,0,1,1,0.0,-12.670000000000003,20
5,0,1,0,1,0,0,0.0,-12.670000000000002,110
6,1,0,0,0,0,1,0.0,-12.600000000000001,32
7,0,1,1,1,1,0,0.0,-12.600000000000003,68
8,0,1,1,1,0,0,0.0,-12.230000000000002,106
9,1,0,0,0,1,1,0.0,-12.230000000000002,6
10,1,1,0,1,0,0,0.0,-10.579999999999998,20
11,0,0,1,0,0,0,0.0,-3.66,1
12,1,1,0,1,1,1,0.0,-3.659999999999998,1
13,0,0,1,0,1,0,0.0,-0.7300000000000004,1
14,1,1,0,1,1,0,0.16666666666666666,-15.79,1
15,0,1,0,1,1,0,0.16666666666666666,-16.8,1
16,0,1,0,0,1,0,0.16666666666666666,14.629999999999999,1
17,0,1,1,1,1,0,0.16666666666666666,-12.600000000000003,1
