,x_0,x_1,x_2,chain_break_fraction,energy,num_occurrences
0,0,1,0,0.0,-4.02,2260
1,1,0,1,0.0,-4.0200000000000005,1734
2,0,1,1,0.0,-0.43999999999999906,5
3,1,1,1,0.0,4.440892098500626e-16,1
