,x_0,x_1,x_2,x_3,x_4,x_5,chain_break_fraction,energy,num_occurrences
0,0,0,0,1,1,0,0.0,-33.52,2074
1,1,1,1,0,0,1,0.0,-33.52,1296
2,1,0,0,1,1,0,0.0,-30.729999999999997,383
3,0,1,1,0,0,1,0.0,-30.73,226
4,1,1,1,0,0,0,0.0,-25.14,5
5,0,0,0,1,1,1,0.0,-25.14,7
6,1,0,0,1,0,0,0.0,-23.049999999999997,1
7,0,1,1,0,1,1,0.0,-23.049999999999997,1
8,0,1,0,0,0,1,0.0,-20.21,1
9,1,0,0,1,1,0,0.16666666666666666,-30.729999999999997,1
10,0,0,0,1,1,0,0.16666666666666666,-33.52,1
11,1,0,0,1,0,1,0.0,-13.329999999999998,1
12,0,0,1,1,1,0,0.0,-13.02,2
13,0,0,1,0,0,1,0.16666666666666666,3.5599999999999996,1
