,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,1,1,1,0,0,1,0,1,1,1,0.0,-42.57000000000001,1104
1,0,0,0,1,1,0,1,0,0,0,0.0,-42.56999999999999,1105
2,1,0,1,0,0,1,1,1,1,1,0.0,-40.92,962
3,0,1,0,1,1,0,0,0,0,0,0.0,-40.92,394
4,0,1,0,1,1,0,1,0,0,0,0.0,-35.449999999999996,8
5,1,0,1,0,0,1,0,1,1,1,0.0,-35.449999999999996,40
6,0,0,0,1,0,0,1,0,0,0,0.0,-34.21,21
7,1,1,1,0,1,1,0,1,1,1,0.0,-34.209999999999994,17
8,1,1,0,0,0,1,0,1,1,1,0.0,-32.67,25
9,0,0,1,1,1,0,1,0,0,0,0.0,-32.669999999999995,27
10,1,0,1,0,1,0,1,1,0,0,0.0,-31.20999999999999,53
11,0,1,0,1,0,1,0,0,1,1,0.0,-31.210000000000004,40
12,1,1,0,1,1,0,0,1,0,0,0.0,-30.8,32
13,0,0,1,0,0,1,1,0,1,1,0.0,-30.8,32
14,1,0,1,0,0,1,1,1,1,1,0.1,-40.92,1
15,0,0,0,1,0,1,1,0,1,1,0.0,-28.840000000000003,30
16,1,1,1,0,1,0,0,1,0,0,0.0,-28.839999999999996,10
17,0,1,0,1,1,1,0,0,1,1,0.0,-28.47,1
18,1,0,1,0,0,0,1,1,0,0,0.0,-28.469999999999995,9
19,0,0,0,1,1,0,1,0,0,0,0.1,-42.56999999999999,1
20,0,0,0,1,0,1,0,0,1,1,0.0,-28.130000000000003,10
21,1,1,1,0,1,0,1,1,0,0,0.0,-28.129999999999995,5
22,0,1,1,0,0,1,0,0,1,1,0.0,-28.11,8
23,1,0,0,1,1,0,1,1,0,0,0.0,-28.11,12
24,1,1,0,0,1,0,0,1,0,0,0.0,-27.419999999999998,5
25,0,0,1,1,0,1,1,0,1,1,0.0,-27.419999999999998,3
26,0,1,1,1,1,0,0,0,0,0,0.0,-25.439999999999998,2
27,1,0,0,0,0,1,1,1,1,1,0.0,-25.44,6
28,1,1,1,0,0,1,0,1,1,1,0.1,-42.57000000000001,1
29,1,0,1,0,1,1,1,1,1,1,0.0,-25.02,1
30,1,0,1,1,1,0,1,1,0,0,0.0,-24.629999999999995,1
31,1,0,1,0,0,1,1,1,1,1,0.1,-40.92,1
32,0,1,1,1,0,1,0,0,1,1,0.0,-24.21,2
33,1,0,0,0,1,0,1,1,0,0,0.0,-24.209999999999997,1
34,0,0,0,1,0,1,0,0,0,1,0.0,-24.070000000000004,4
35,0,0,0,1,1,0,1,0,0,0,0.1,-42.56999999999999,1
36,1,1,0,1,1,0,1,1,0,0,0.0,-23.71,2
37,0,0,1,1,0,0,1,0,0,0,0.0,-23.65,2
38,1,1,0,0,1,1,0,1,1,1,0.0,-23.65,2
39,1,1,1,0,0,1,0,1,1,0,0.0,-23.31,1
40,0,0,0,1,1,0,1,0,0,1,0.0,-23.309999999999988,1
41,1,0,0,0,0,1,0,1,1,1,0.0,-23.110000000000003,1
42,0,0,1,1,1,0,1,1,0,0,0.0,-22.879999999999995,1
43,1,1,0,0,0,1,0,1,1,1,0.1,-32.67,1
44,1,1,0,1,0,1,0,0,1,1,0.1,-21.56,2
45,0,0,0,0,0,1,1,0,1,1,0.0,-21.740000000000002,1
46,1,1,0,1,1,0,0,0,0,0,0.1,-22.33,1
47,0,0,1,1,1,0,1,0,0,0,0.1,-32.669999999999995,1
48,0,1,0,1,0,1,0,0,0,1,0.0,-20.690000000000005,1
49,1,1,1,0,0,1,0,1,0,1,0.0,-20.689999999999998,1
50,1,0,1,0,0,1,1,1,1,1,0.1,-40.92,1
51,0,1,0,1,1,0,0,0,0,0,0.1,-40.92,1
52,1,1,1,0,0,0,1,1,0,0,0.0,-19.269999999999996,1
53,1,0,0,1,1,0,1,0,0,0,0.1,-17.32,1
54,1,1,1,0,0,1,0,1,1,1,0.1,-42.57000000000001,1
55,0,0,0,1,0,1,1,0,0,0,0.0,-17.680000000000003,1
56,1,0,0,1,0,1,1,1,1,1,0.0,-16.8,1
