,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_2,x_20,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0.0,-182.75000000000003,576
1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0.0,-182.75,163
2,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0.0,-182.48000000000002,295
3,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0.0,-182.48,158
4,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,-174.15000000000003,43
5,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0.0,-174.15,57
6,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0.0,-173.36999999999992,37
7,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0.0,-173.37000000000003,55
8,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0.0,-173.30999999999995,113
9,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0.0,-173.31000000000003,49
10,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0.0,-171.71,83
11,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0.0,-171.71,89
12,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0.0,-171.24000000000004,18
13,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0.0,-171.23999999999992,43
14,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0.0,-170.85999999999996,10
15,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0.0,-170.86000000000004,38
16,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0.0,-170.73999999999992,97
17,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0.0,-170.74000000000004,30
18,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0.0,-170.41999999999996,71
19,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0.0,-170.42000000000002,36
20,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0.0,-170.30999999999995,66
21,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.0,-170.31,7
22,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0.0,-169.33999999999997,24
23,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0.0,-169.34000000000003,7
24,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0.0,-169.00000000000003,24
25,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0.0,-169.0,42
26,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0.0,-168.80999999999995,53
27,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0.0,-168.81,21
28,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0.0,-168.58000000000004,22
29,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0.0,-168.57999999999993,32
30,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0.0,-168.22999999999993,6
31,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0.0,-168.23000000000005,8
32,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0.047619047619047616,-167.23000000000002,15
33,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0.047619047619047616,-167.23000000000002,14
34,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0.0,-167.73999999999998,9
35,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0.0,-167.74,17
36,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0.047619047619047616,-182.75000000000003,6
37,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0.0,-167.23000000000002,3
38,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0.0,-167.23000000000002,9
39,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0.0,-167.04999999999998,25
40,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0.0,-167.04999999999998,23
41,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0.047619047619047616,-182.48000000000002,2
42,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0.047619047619047616,-182.48,2
43,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0.0,-166.96,22
44,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0.0,-166.95999999999998,37
45,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0.0,-166.63,18
46,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0.0,-166.63,2
47,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0.0,-166.47000000000006,54
48,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0.0,-166.47,11
49,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0.047619047619047616,-182.48000000000002,7
