,x_0,x_1,x_2,x_3,x_4,x_5,chain_break_fraction,energy,num_occurrences
0,1,0,1,0,0,1,0.0,-16.8,1214
1,0,1,0,1,1,0,0.0,-16.8,1555
2,0,0,1,0,0,1,0.0,-15.79,346
3,1,1,0,1,1,0,0.0,-15.79,489
4,1,0,1,0,1,1,0.0,-12.670000000000003,72
5,0,1,0,1,0,0,0.0,-12.670000000000002,113
6,1,0,0,0,0,1,0.0,-12.600000000000001,50
7,0,1,1,1,1,0,0.0,-12.600000000000003,45
8,1,0,0,0,1,1,0.0,-12.230000000000002,36
9,0,1,1,1,0,0,0.0,-12.230000000000002,59
10,1,1,0,1,0,0,0.0,-10.579999999999998,7
11,0,0,1,0,1,1,0.0,-10.58,7
12,0,1,1,1,0,1,0.0,-2.7200000000000024,1
13,1,0,0,0,1,0,0.0,-2.72,1
14,0,0,1,1,0,0,0.0,-1.3900000000000001,1
15,1,1,0,1,0,1,0.0,-0.7299999999999969,1
16,0,1,0,1,1,1,0.0,1.109999999999998,1
17,0,1,0,1,0,0,0.16666666666666666,-12.670000000000002,1
18,1,0,1,0,1,0,0.0,2.959999999999999,1
