,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0.0,-104.85999999999999,1593
1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0.0,-104.85999999999999,1032
2,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.0,-96.11999999999999,200
3,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0.0,-96.12,58
4,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0.0,-95.69999999999999,645
5,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0.0,-95.7,83
6,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0.0,-91.18,58
7,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0.0,-91.17999999999999,57
8,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0.0,-88.48999999999998,22
9,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0.0,-88.49000000000001,35
10,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0.0,-86.80999999999999,4
11,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0.0,-86.81,12
12,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0.0,-86.80000000000001,8
13,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0.0,-86.79999999999998,8
14,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0.0,-86.62999999999998,16
15,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0.0,-86.62999999999997,10
16,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0.06666666666666667,-104.85999999999999,2
17,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0.0,-85.16,18
18,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0.0,-85.16000000000001,2
19,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,-84.80999999999999,25
20,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0.0,-84.80999999999999,4
21,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0.0,-84.15,1
22,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0.0,-84.14999999999999,1
23,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0.06666666666666667,-104.85999999999999,5
24,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0.06666666666666667,-104.85999999999999,4
25,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0,-82.61,15
26,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0.0,-82.60999999999997,4
27,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0.0,-82.05000000000001,2
28,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0.0,-81.27,6
29,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0.0,-81.27,1
30,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.06666666666666667,-96.11999999999999,2
31,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0.06666666666666667,-95.69999999999999,3
32,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0.0,-79.32999999999998,2
33,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0.06666666666666667,-104.85999999999999,1
34,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0.06666666666666667,-104.85999999999999,2
35,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0.0,-78.63000000000001,2
36,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0.06666666666666667,-85.16,4
37,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0.0,-78.55,1
38,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0.06666666666666667,-95.69999999999999,1
39,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0.0,-78.1,9
40,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0.0,-78.09999999999997,1
41,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0.0,-77.46,2
42,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0.0,-76.62,2
43,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0.0,-73.91999999999999,1
44,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0.06666666666666667,-91.17999999999999,1
45,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0.0,-72.61999999999999,1
46,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0.0,-72.53999999999998,1
47,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0.0,-72.2,1
