,x_0,x_1,x_2,chain_break_fraction,energy,num_occurrences
0,1,0,1,0.0,-14.02,1763
1,0,1,0,0.0,-14.02,2217
2,0,1,1,0.0,-10.440000000000001,16
3,1,0,0,0.0,-10.44,4
