,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,chain_break_fraction,energy,num_occurrences
0,0,0,0,0,0,0,0,1,1,0.0,-50.239999999999995,1288
1,1,1,1,1,1,1,1,0,0,0.0,-50.239999999999995,698
2,0,0,0,1,1,0,0,1,0,0.0,-45.63,528
3,1,1,1,0,0,1,1,0,1,0.0,-45.63,143
4,0,1,1,0,1,1,0,1,0,0.0,-45.0,385
5,1,0,0,1,0,0,1,0,1,0.0,-44.99999999999999,387
6,1,0,1,1,1,1,1,0,0,0.0,-44.65999999999999,77
7,0,1,0,0,0,0,0,1,1,0.0,-44.66,104
8,0,1,0,0,0,0,1,1,1,0.0,-42.519999999999996,17
9,1,0,1,1,1,1,0,0,0,0.0,-42.519999999999996,47
10,0,0,0,1,1,0,0,1,1,0.0,-42.15,32
11,1,1,1,0,0,1,1,0,0,0.0,-42.15,22
12,1,1,0,1,0,0,1,0,1,0.0,-41.199999999999996,34
13,0,0,1,0,1,1,0,1,0,0.0,-41.19999999999999,32
14,1,1,1,1,0,1,1,0,0,0.0,-40.269999999999996,10
15,0,0,0,0,1,0,0,1,1,0.0,-40.269999999999996,19
16,1,1,1,1,1,1,1,0,1,0.0,-38.72,4
17,0,0,0,0,0,0,0,1,0,0.0,-38.72,12
18,0,1,1,0,1,1,0,0,0,0.0,-38.18,24
19,1,0,0,1,0,0,1,1,1,0.0,-38.17999999999999,16
20,0,1,0,0,0,0,0,1,0,0.0,-37.58,2
21,1,0,1,1,1,1,1,0,1,0.0,-37.57999999999999,4
22,1,1,1,1,0,1,1,0,1,0.0,-37.37,2
23,1,1,1,0,0,0,1,1,1,0.0,-37.269999999999996,8
24,0,0,0,1,1,1,0,0,0,0.0,-37.269999999999996,10
25,0,0,0,1,0,0,0,1,1,0.0,-37.21999999999999,5
26,0,1,1,1,1,1,1,0,0,0.0,-37.16,6
27,1,0,0,0,0,0,0,1,1,0.0,-37.16,11
28,0,1,1,1,1,1,0,0,0,0.0,-36.620000000000005,10
29,1,0,0,0,0,0,1,1,1,0.0,-36.62,1
30,0,1,1,0,1,1,0,0,0,0.1111111111111111,-38.18,6
31,1,0,0,1,0,0,1,1,1,0.1111111111111111,-38.17999999999999,4
32,0,0,1,1,1,1,0,1,0,0.0,-35.75999999999999,6
33,1,1,1,1,0,0,1,0,1,0.0,-35.17,2
34,0,0,0,0,1,1,0,1,0,0.0,-35.17,1
35,1,1,0,0,0,0,1,1,1,0.0,-35.1,2
36,0,0,1,1,1,1,0,0,0,0.0,-35.099999999999994,2
37,0,1,1,0,0,0,1,1,1,0.0,-34.71,1
38,1,0,0,1,1,1,0,0,0,0.0,-34.709999999999994,1
39,0,0,0,1,1,0,0,1,0,0.1111111111111111,-45.63,1
40,1,1,1,0,0,0,1,0,1,0.0,-34.07,1
41,0,0,0,1,1,1,0,1,0,0.0,-34.06999999999999,1
42,0,0,0,0,0,0,1,1,1,0.0,-33.18,3
43,1,1,1,1,1,1,0,0,0,0.0,-33.18,3
44,1,0,0,1,0,0,1,0,0,0.0,-33.12,4
45,0,1,0,1,0,0,1,1,1,0.0,-32.599999999999994,1
46,1,0,1,0,1,1,0,0,0,0.0,-32.599999999999994,1
47,0,1,1,0,1,1,0,1,0,0.1111111111111111,-45.0,1
48,0,1,1,0,1,0,0,1,1,0.0,-32.120000000000005,3
49,1,0,0,1,0,1,1,0,0,0.0,-32.11999999999999,1
50,1,1,1,0,1,1,0,0,0,0.0,-31.92,1
51,1,1,0,1,0,1,1,0,0,0.0,-31.819999999999997,1
52,0,0,1,0,1,0,0,1,1,0.0,-31.820000000000004,1
53,0,1,1,1,1,1,0,1,0,0.0,-30.90000000000001,2
54,1,0,0,0,0,0,0,1,0,0.0,-29.919999999999998,1
55,1,0,1,1,0,1,1,0,1,0.0,-29.450000000000003,1
56,0,0,0,0,0,0,1,1,1,0.1111111111111111,-33.18,1
57,0,1,1,0,1,1,0,1,0,0.1111111111111111,-45.0,1
58,1,0,0,1,0,0,1,1,0,0.0,-28.04,1
59,1,0,0,1,1,1,1,0,0,0.0,-26.80999999999999,1
60,0,1,1,0,0,1,0,1,0,0.0,-21.99,1
61,0,0,0,1,1,0,0,0,0,0.0,-20.85,1
62,0,1,1,1,1,1,0,0,1,0.0,-20.10000000000001,1
63,0,1,1,1,1,1,1,0,0,0.1111111111111111,-37.16,1
64,0,0,0,1,1,0,0,1,0,0.1111111111111111,-45.63,1
65,1,1,0,0,0,0,0,0,0,0.0,-9.840000000000003,1
