,x_0,x_1,x_2,x_3,x_4,x_5,x_6,chain_break_fraction,energy,num_occurrences
0,1,0,0,1,0,1,1,0.0,-78.92999999999999,2457
1,0,1,1,0,1,0,0,0.0,-78.93,896
2,1,0,1,1,0,0,1,0.0,-74.76,436
3,0,1,0,0,1,1,0,0.0,-74.76000000000002,47
4,1,0,1,1,0,1,1,0.0,-72.71000000000001,71
5,0,1,0,0,1,0,0,0.0,-72.71000000000001,18
6,0,1,0,1,1,1,0,0.0,-69.61000000000001,3
7,1,0,1,0,0,0,1,0.0,-69.61,25
8,0,1,0,1,1,1,1,0.0,-66.73,1
9,1,0,1,0,0,0,0,0.0,-66.73,5
10,1,0,0,1,0,1,1,0.14285714285714285,-78.92999999999999,1
11,0,1,0,1,0,1,1,0.0,-65.55,5
12,1,0,1,0,1,0,0,0.0,-65.55,5
13,1,1,0,1,0,0,1,0.14285714285714285,-63.769999999999996,2
14,0,0,1,0,1,1,0,0.14285714285714285,-63.77000000000002,1
15,1,0,0,1,0,0,1,0.0,-64.6,1
16,1,0,1,1,0,0,1,0.14285714285714285,-74.76,3
17,1,1,1,0,1,0,0,0.0,-64.18,3
18,0,0,0,1,0,1,1,0.0,-64.17999999999999,5
19,1,1,1,0,0,0,0,0.0,-62.70000000000001,1
20,0,1,1,0,1,0,0,0.14285714285714285,-78.93,1
21,1,0,0,1,0,0,1,0.14285714285714285,-64.6,1
22,1,0,1,1,0,1,0,0.0,-60.59000000000002,1
23,0,1,1,0,1,0,0,0.14285714285714285,-78.93,1
24,1,0,0,1,0,1,1,0.14285714285714285,-78.92999999999999,1
25,1,0,1,0,0,1,1,0.0,-55.50000000000001,1
26,0,1,0,1,1,0,0,0.0,-55.5,1
27,1,0,1,1,1,0,1,0.0,-53.10000000000001,1
28,1,0,0,1,1,1,1,0.0,-52.39000000000001,1
29,0,1,1,0,1,0,1,0.0,-52.370000000000005,1
30,1,0,0,1,0,1,0,0.0,-52.370000000000005,1
31,1,0,0,0,0,1,1,0.0,-50.779999999999994,1
32,1,0,1,1,0,1,1,0.14285714285714285,-72.71000000000001,1
33,0,0,1,1,0,0,1,0.0,-44.25,1
