,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0.0,-366.81000000000006,575
1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0.0,-366.81,168
2,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0.0,-366.79999999999995,644
3,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0.0,-366.80000000000007,349
4,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0.0,-361.18,97
5,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0.0,-361.18000000000006,270
6,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0.0,-358.4900000000001,92
7,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0.0,-358.4899999999999,178
8,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0.0,-357.65,14
9,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0.0,-357.6499999999999,45
10,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0.0,-356.63,37
11,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0.0,-356.6299999999999,74
12,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0.0,-356.62,99
13,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0.0,-356.62000000000006,12
14,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0.0,-355.34999999999997,14
15,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0.0,-355.34999999999997,14
16,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0.0,-355.15999999999997,19
17,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0.0,-355.1599999999999,30
18,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0.0,-354.86,29
19,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0.0,-354.8599999999999,76
20,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0.0,-354.15,87
21,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0.0,-354.1500000000001,16
22,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0.0,-353.91999999999996,73
23,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0.0,-353.9200000000001,26
24,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0.0,-353.61,85
25,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0.0,-353.61000000000007,15
26,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0.0,-352.98999999999995,22
27,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0.0,-352.99,24
28,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0.0,-352.62,6
29,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0.0,-352.6199999999999,12
30,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0.0,-352.17999999999995,10
31,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0.0,-352.18,16
32,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0.0,-351.42999999999995,34
33,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0.0,-351.42999999999995,20
34,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0.0,-351.26999999999987,75
35,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0.0,-351.27,10
36,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0.0,-350.85999999999996,11
37,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0.0,-350.85999999999996,19
38,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0.0,-350.61,13
39,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0.0,-350.61,19
40,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0.0,-349.81999999999994,7
41,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0.0,-349.81999999999994,21
42,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0.0,-349.79999999999995,29
43,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0.0,-349.8,4
44,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0.06666666666666667,-348.80000000000007,8
45,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0.06666666666666667,-358.4899999999999,10
46,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0.0,-349.38,3
47,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0.0,-349.3799999999999,28
48,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0.0,-349.33,13
49,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0.0,-349.3299999999999,21
50,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0.0,-348.96000000000004,2
51,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0.0,-348.9599999999999,3
52,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0.0,-348.80000000000007,4
53,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0.0,-348.79999999999984,11
54,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0.0,-348.6299999999999,4
55,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0.0,-348.6299999999999,15
56,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0.0,-348.2199999999999,13
57,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0.0,-348.21999999999997,10
58,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0.0,-348.16,8
59,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0.0,-348.15999999999985,4
60,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0.0,-347.96,4
61,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0.0,-347.96,8
62,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0.0,-347.42000000000013,3
63,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0.0,-347.41999999999996,14
64,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0.06666666666666667,-366.79999999999995,1
65,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0.06666666666666667,-366.80000000000007,2
66,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0.0,-346.42999999999995,13
67,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0.0,-346.43,2
68,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0.0,-346.11,17
69,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0.0,-346.11,7
70,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0.0,-345.7,4
71,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0.0,-345.69999999999993,16
72,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0.0,-345.29999999999995,1
73,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0.0,-345.29999999999995,6
74,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0.0,-345.15,1
75,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0.0,-345.15,2
76,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0.0,-343.55999999999995,1
77,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0.0,-343.55999999999995,2
78,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0.0,-343.4099999999999,2
79,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0.0,-343.4099999999999,3
80,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0.0,-343.3399999999999,2
81,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0.0,-343.3299999999999,1
82,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0.0,-343.3300000000001,5
83,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0.0,-343.2799999999999,1
84,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0.0,-342.62,5
85,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0.0,-342.6199999999999,1
86,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0.0,-342.53999999999996,1
87,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0.0,-342.53999999999996,2
88,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0.0,-342.51,1
89,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0.0,-341.95,2
90,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0.0,-341.9499999999999,1
91,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0.0,-341.74999999999994,5
92,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0.0,-341.63999999999993,2
93,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0.0,-341.64,1
94,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0.0,-341.56999999999994,1
95,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0.0,-341.4300000000001,4
96,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0.0,-341.42999999999995,11
97,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0.0,-341.32,1
98,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0.0,-340.55000000000007,1
99,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0.0,-340.54999999999995,3
100,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0.0,-340.5099999999998,1
101,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0.0,-340.2099999999999,1
102,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0.0,-340.21,1
103,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0.0,-340.18,4
104,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0.0,-340.1799999999999,1
105,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0.0,-340.09,5
106,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0.0,-340.05999999999995,5
107,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0.0,-340.06,2
108,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0.0,-339.9,1
109,0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0.0,-339.8899999999999,1
110,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0.0,-339.86,1
111,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0.0,-339.86,2
112,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0.0,-339.85,4
113,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0.0,-339.50999999999993,4
114,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0.0,-339.50999999999993,6
115,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0.0,-339.41999999999985,6
116,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0.0,-339.42,1
117,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0.0,-339.0899999999999,1
118,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0.0,-338.80999999999995,5
119,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0.0,-338.81000000000006,3
120,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0.0,-338.80999999999995,1
121,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0.0,-338.35999999999996,2
122,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0.0,-338.35999999999996,1
123,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0.0,-338.28,2
124,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0.0,-338.2799999999999,3
