,x_0,x_1,x_2,x_3,x_4,x_5,chain_break_fraction,energy,num_occurrences
0,1,0,0,1,1,0,0.0,-75.73,764
1,0,1,1,0,0,1,0.0,-75.72999999999999,2448
2,1,1,1,0,0,1,0.0,-73.52,391
3,0,0,0,1,1,0,0.0,-73.52,267
4,1,1,1,0,0,0,0.0,-70.14,47
5,0,0,0,1,1,1,0.0,-70.14,55
6,1,0,1,1,0,0,0.0,-64.31,4
7,0,1,0,0,1,1,0.0,-64.31,3
8,1,0,0,1,0,0,0.0,-63.050000000000004,1
9,0,1,1,0,1,1,0.0,-63.04999999999998,1
10,0,1,1,0,1,1,0.16666666666666666,-63.04999999999998,1
11,0,1,0,0,0,1,0.0,-60.209999999999994,6
12,1,0,1,1,1,0,0.0,-60.209999999999994,3
13,1,1,0,0,0,1,0.0,-58.019999999999996,2
14,0,0,1,1,1,0,0.0,-58.019999999999996,1
15,0,1,1,0,0,0,0.0,-56.56999999999999,2
16,1,0,1,0,0,0,0.0,-54.37,1
17,0,0,0,1,0,1,0.0,-46.84,2
18,0,0,1,0,0,1,0.0,-36.440000000000005,1
