,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_2,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0.0,-252.14000000000007,47
1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0.0,-249.33999999999995,39
2,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0.0,-249.33999999999997,3
3,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0.0,-246.2200000000001,33
4,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0.0,-245.75000000000009,18
5,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0.0,-245.54000000000002,1
6,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0.0,-245.54000000000002,63
7,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0.0,-245.54000000000013,2
8,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0.0,-245.54,1
9,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0.0,-244.99000000000012,80
10,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0.0,-243.81999999999994,2
11,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0.0,-243.80999999999997,16
12,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0.0,-243.49000000000015,3
13,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0.0,-242.94999999999993,2
14,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0.0,-242.95,1
15,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0.0,-242.74,38
16,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0.0,-242.40000000000015,38
17,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0.0,-242.16000000000017,2
18,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0.0,-242.16000000000005,1
19,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0.0,-241.56000000000012,38
20,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0.0,-241.56000000000006,5
21,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0.0,-241.49000000000015,2
22,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0.0,-241.43000000000015,6
23,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0.0,-241.27999999999994,71
24,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0.0,-241.14000000000013,35
25,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0.0,-241.00999999999996,14
26,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0.0,-240.39999999999998,1
27,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0.0,-240.37000000000006,1
28,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0.0,-240.28000000000006,31
29,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0.0,-239.90999999999994,42
30,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0.0,-239.77000000000004,1
31,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0.0,-239.7,14
32,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0.0,-239.69999999999996,4
33,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0.0,-239.51999999999998,2
34,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0.0,-239.5199999999999,11
35,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0.0,-239.36999999999995,13
36,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0.0,-239.2700000000001,12
37,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0.0,-239.01,2
38,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0.0,-238.72999999999993,5
39,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0.0,-238.69000000000003,8
40,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0.0,-238.52000000000004,19
41,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0.0,-238.27,7
42,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0.0,-237.98999999999998,6
43,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0.0,-237.93000000000012,27
44,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0.0,-237.93000000000012,4
45,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0.0,-237.89000000000001,5
46,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0.0,-237.71999999999997,40
47,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0.0,-237.49,2
48,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0.0,-237.49000000000007,31
49,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0.0,-237.45000000000005,5
50,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0.0,-236.9499999999999,7
