,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.0,-116.11000000000003,652
1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0.0,-116.10999999999997,334
2,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0.0,-113.28999999999998,366
3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.0,-113.29000000000003,1354
4,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0.0,-110.24000000000001,8
5,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0.0,-110.23999999999997,37
6,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0.0,-109.3,41
7,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0.0,-109.3,9
8,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,-109.18,64
9,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0.0,-109.17999999999998,22
10,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0,-108.10000000000002,238
11,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0.0,-108.09999999999998,42
12,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.058823529411764705,-109.18,36
13,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0.058823529411764705,-109.17999999999998,20
14,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0.0,-106.99,9
15,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0.0,-106.98999999999998,31
16,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0.0,-106.85999999999997,38
17,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.0,-106.86000000000003,52
18,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.058823529411764705,-108.10000000000002,112
19,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0.058823529411764705,-108.09999999999998,25
20,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0.0,-104.97000000000001,34
21,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0.0,-104.97,16
22,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.0,-103.71000000000001,11
23,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0.0,-103.71,9
24,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0.0,-103.36,15
25,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0.0,-103.36000000000001,18
26,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0.0,-102.73000000000002,1
27,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0.0,-102.72999999999998,6
28,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0.0,-101.96,4
29,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0.0,-101.96,26
30,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0.0,-101.54999999999998,2
31,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0.0,-101.33999999999997,2
32,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0.0,-101.34000000000002,13
33,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0.0,-101.23999999999998,5
34,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0.0,-101.24000000000002,16
35,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0.0,-100.69999999999996,17
36,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0.0,-100.70000000000002,22
