,x_0,x_1,x_10,x_11,x_12,x_13,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0.0,-337.40999999999997,222
1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0.0,-337.41,981
2,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0.0,-337.06000000000006,1350
3,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0.0,-337.05999999999995,746
4,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0.0,-330.59999999999997,51
5,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0.0,-330.6,138
6,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0.0,-327.69000000000005,171
7,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0.0,-327.6899999999999,38
8,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0.0,-326.4100000000001,105
9,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0.0,-326.41,19
10,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0.0,-323.39,32
11,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0.0,-323.39,2
12,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0.07142857142857142,-337.40999999999997,7
13,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0.07142857142857142,-337.41,10
14,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0.0,-322.75,31
15,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0.0,-322.74999999999994,26
16,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0.07142857142857142,-337.05999999999995,1
17,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0.0,-315.98999999999995,4
18,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0.0,-314.41999999999996,5
19,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0.07142857142857142,-315.98999999999995,1
20,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0.07142857142857142,-337.40999999999997,1
21,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0.07142857142857142,-314.41999999999996,1
22,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0.0,-309.63,1
23,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0.0,-309.63000000000005,1
24,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0.0,-309.58999999999986,1
25,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0.0,-309.59000000000003,8
26,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0.0,-309.27999999999986,2
27,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0.0,-309.2799999999999,1
28,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0.0,-309.25999999999993,5
29,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0.0,-309.26000000000005,3
30,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0.0,-308.27,1
31,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0.0,-308.27,3
32,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0.0,-307.8899999999999,1
33,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0.0,-307.89,1
34,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0.0,-307.75999999999993,1
35,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0.0,-307.40999999999997,1
36,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0.0,-307.06,3
37,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0.07142857142857142,-337.05999999999995,1
38,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0.0,-305.81999999999994,1
39,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0.0,-303.01,1
40,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0.07142857142857142,-337.41,1
41,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0.0,-300.14000000000004,1
42,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0.07142857142857142,-337.05999999999995,1
43,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0.0,-299.36,2
44,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0.0,-298.68000000000006,1
45,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0.07142857142857142,-327.69000000000005,1
46,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0.0,-296.9400000000001,1
47,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0.0,-296.80000000000007,2
48,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0.0,-296.51,1
49,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0.0,-295.6999999999999,1
50,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0.0,-294.93000000000006,1
51,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0.0,-294.70999999999987,1
52,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0.07142857142857142,-293.80999999999995,1
53,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0.07142857142857142,-337.41,1
54,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0.07142857142857142,-337.40999999999997,1
55,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0.07142857142857142,-337.41,2
56,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0.0,-287.33000000000004,1
57,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0.0,-286.78999999999996,1
58,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0.0,-281.61000000000007,1
