,x_0,x_1,x_2,x_3,x_4,x_5,x_6,chain_break_fraction,energy,num_occurrences
0,0,1,0,0,1,0,0,0.0,-22.71,1960
1,1,0,1,1,0,1,1,0.0,-22.709999999999997,986
2,0,1,0,0,0,0,0,0.0,-21.09,335
3,1,0,1,1,1,1,1,0.0,-21.089999999999993,362
4,0,1,1,0,1,0,0,0.0,-18.93,125
5,1,0,0,1,0,1,1,0.0,-18.93,68
6,0,1,0,1,1,1,1,0.0,-16.729999999999993,53
7,1,0,1,0,0,0,0,0.0,-16.73,43
8,1,0,1,1,0,0,1,0.0,-14.759999999999998,10
9,0,1,0,0,1,1,0,0.0,-14.76,38
10,1,1,0,0,0,0,0,0.0,-11.420000000000002,2
11,0,0,1,1,1,1,1,0.0,-11.419999999999998,8
12,1,0,1,0,0,0,1,0.0,-9.61,3
13,0,1,0,1,1,1,0,0.0,-9.609999999999996,3
14,0,0,1,0,1,0,0,0.0,-9.440000000000001,1
15,1,0,0,1,0,0,1,0.0,-4.599999999999998,1
16,0,0,0,1,1,1,1,0.0,-2.7,1
17,0,1,0,0,1,0,0,0.14285714285714285,-22.71,1
