,x_0,x_1,x_10,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,1,0,1,1,1,0,1,0,0,0,0,0.0,-214.64999999999998,187
1,0,1,0,0,0,1,0,1,1,1,1,0.0,-214.64999999999998,2226
2,1,1,1,0,0,0,0,1,0,1,1,0.0,-210.53000000000003,99
3,0,0,0,1,1,1,1,0,1,0,0,0.0,-210.52999999999997,383
4,0,1,1,0,0,1,0,1,1,1,1,0.0,-208.54999999999998,110
5,1,0,0,1,1,0,1,0,0,0,0,0.0,-208.54999999999998,37
6,0,0,1,1,1,1,1,0,1,0,0,0.0,-207.74999999999997,44
7,1,1,0,0,0,0,0,1,0,1,1,0.0,-207.75,50
8,1,1,0,0,0,0,0,1,1,1,1,0.0,-207.32999999999998,50
9,0,0,1,1,1,1,1,0,0,0,0,0.0,-207.32999999999998,18
10,0,1,1,0,0,0,0,1,1,1,1,0.0,-205.15,17
11,1,0,0,1,1,1,1,0,0,0,0,0.0,-205.14999999999998,22
12,0,1,1,0,0,1,0,1,0,1,1,0.0,-205.07000000000005,19
13,1,0,0,1,1,0,1,0,1,0,0,0.0,-205.06999999999996,14
14,1,0,0,1,1,0,1,0,0,0,1,0.0,-204.70999999999998,8
15,0,1,1,0,0,1,0,1,1,1,0,0.0,-204.70999999999998,22
16,0,1,0,0,0,0,0,1,1,1,1,0.0,-204.08999999999997,51
17,1,0,1,1,1,1,1,0,0,0,0,0.0,-204.09,5
18,0,1,0,0,0,1,0,0,1,1,1,0.0,-203.91000000000003,461
19,1,0,1,1,1,0,1,1,0,0,0,0.0,-203.91,39
20,0,0,1,1,1,0,1,0,1,0,0,0.0,-203.23,3
21,1,1,0,0,0,1,0,1,0,1,1,0.0,-203.23000000000002,8
22,1,0,1,1,1,0,1,0,0,0,1,0.0,-201.11,2
23,0,1,0,0,0,1,0,1,1,1,0,0.0,-201.10999999999999,33
24,0,1,1,1,1,1,1,0,0,0,0,0.0,-200.61999999999998,3
25,1,0,0,0,0,0,0,1,1,1,1,0.0,-200.61999999999998,4
26,0,1,1,0,0,1,1,1,0,1,1,0.0,-199.88,1
27,1,0,0,1,1,0,0,0,1,0,0,0.0,-199.88,3
28,1,1,1,0,0,1,0,1,0,1,1,0.0,-198.85000000000005,2
29,0,0,0,1,1,0,1,0,1,0,0,0.0,-198.85,2
30,1,0,0,1,1,0,1,1,0,0,0,0.0,-198.02999999999997,3
31,0,1,1,0,0,1,0,0,1,1,1,0.0,-198.03000000000006,13
32,1,0,0,1,1,0,0,1,1,0,0,0.0,-197.3,1
33,0,1,0,0,0,1,0,0,1,1,1,0.09090909090909091,-203.91000000000003,6
34,1,0,1,1,1,0,0,1,0,0,0,0.0,-196.12000000000003,1
35,0,1,0,0,0,1,1,0,1,1,1,0.0,-196.12,7
36,1,1,0,0,0,0,1,1,0,1,1,0.0,-194.12,3
37,0,0,1,1,1,0,1,0,0,0,0,0.0,-192.83,1
38,0,1,0,0,0,1,1,1,0,1,1,0.0,-192.21999999999997,3
39,0,1,1,0,0,0,0,1,0,1,1,0.0,-191.69000000000003,1
40,1,0,0,1,1,1,1,0,1,0,0,0.0,-191.69,1
41,0,0,0,1,1,1,0,0,1,0,0,0.0,-190.28,3
42,0,0,0,1,1,1,1,0,0,0,0,0.0,-189.73,1
43,0,1,1,1,1,1,0,0,1,0,0,0.0,-189.45000000000002,1
44,1,0,0,0,0,0,1,1,0,1,1,0.0,-189.45000000000002,1
45,0,1,0,1,1,1,1,0,1,0,0,0.0,-189.43999999999997,3
46,1,0,1,0,0,0,0,1,0,1,1,0.0,-189.44000000000003,1
47,0,1,0,0,0,1,0,1,1,1,1,0.09090909090909091,-214.64999999999998,1
48,1,0,0,0,0,0,0,1,0,1,1,0.0,-186.70000000000002,1
49,0,1,0,1,0,1,0,0,1,1,1,0.0,-186.39999999999998,1
50,1,1,1,0,0,0,0,1,0,1,1,0.09090909090909091,-210.53000000000003,1
51,0,1,0,0,0,1,0,1,1,1,1,0.09090909090909091,-214.64999999999998,2
52,0,1,0,0,1,1,0,0,1,1,0,0.0,-185.64000000000001,3
53,0,0,0,1,1,0,1,0,1,0,0,0.09090909090909091,-198.85,1
54,1,0,1,0,0,0,1,1,0,1,1,0.0,-185.57000000000002,1
55,0,1,0,1,1,1,0,0,1,0,0,0.0,-185.57,1
56,1,0,1,1,1,0,1,1,0,0,1,0.0,-184.49000000000004,1
57,1,0,0,0,1,0,1,0,0,0,1,0.0,-183.3,1
58,1,1,1,0,1,0,0,1,0,0,1,0.0,-182.81999999999996,2
59,0,1,0,1,0,1,0,1,1,1,0,0.0,-180.61999999999995,2
60,0,0,1,1,0,1,1,0,0,0,0,0.0,-179.24,1
61,0,1,0,1,0,1,0,1,1,1,1,0.0,-177.77999999999997,2
62,0,1,0,0,0,1,0,1,1,1,1,0.09090909090909091,-214.64999999999998,1
63,0,1,0,0,0,1,0,1,1,1,1,0.09090909090909091,-214.64999999999998,2
64,0,1,0,0,0,1,0,1,1,1,1,0.09090909090909091,-214.64999999999998,1
65,0,1,0,0,1,0,0,0,1,1,0,0.0,-168.82,1
66,0,1,0,0,1,1,0,0,0,1,1,0.09090909090909091,-155.92,1
