,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,chain_break_fraction,energy,num_occurrences
0,0,1,0,1,0,1,0,1,0.0,-112.98,1170
1,1,0,1,0,1,0,1,0,0.0,-112.98000000000002,2596
2,1,0,1,0,0,0,1,0,0.0,-101.59,28
3,0,1,0,1,1,1,0,1,0.0,-101.59000000000002,16
4,1,0,0,1,1,0,1,0,0.0,-100.21,47
5,0,1,1,0,0,1,0,1,0.0,-100.21,26
6,1,0,1,0,0,1,1,0,0.0,-99.94000000000001,12
7,0,1,0,1,1,0,0,1,0.0,-99.94000000000003,7
8,0,1,0,0,0,1,0,1,0.0,-99.19999999999999,6
9,1,0,1,1,1,0,1,0,0.0,-99.2,29
10,0,1,1,1,0,1,0,1,0.0,-97.60999999999999,13
11,1,0,0,0,1,0,1,0,0.0,-97.61,19
12,1,0,1,0,1,0,1,0,0.125,-112.98000000000002,1
13,0,0,0,1,1,1,0,1,0.0,-92.48,1
14,1,0,1,0,1,1,1,0,0.0,-91.97000000000001,3
15,1,0,0,0,1,1,1,0,0.0,-90.94000000000001,1
16,0,1,1,1,0,0,0,1,0.0,-90.94,1
17,0,0,1,0,0,1,0,1,0.0,-89.38,1
18,1,0,1,1,0,0,1,0,0.0,-87.77,1
19,1,0,1,0,0,1,0,1,0.0,-87.64000000000001,2
20,0,1,1,0,0,0,0,1,0.0,-87.39999999999999,1
21,1,1,1,0,1,0,1,0,0.125,-85.21000000000001,1
22,1,0,1,0,1,0,1,0,0.125,-112.98000000000002,1
23,0,1,0,1,0,1,0,1,0.125,-112.98,1
24,0,0,1,0,1,0,1,0,0.0,-83.22000000000001,4
25,1,0,1,0,0,1,1,1,0.0,-82.50000000000003,1
26,1,1,1,1,0,0,1,0,0.0,-81.31999999999998,1
27,0,0,0,0,1,1,0,1,0.0,-81.32000000000001,1
28,1,1,0,1,1,0,0,0,0.0,-77.71999999999998,1
29,1,1,0,0,0,0,1,0,0.0,-76.94999999999999,1
30,1,1,0,0,0,1,0,0,0.0,-76.72,1
31,0,1,0,1,0,1,1,1,0.0,-75.7,1
32,1,0,1,0,1,0,1,1,0.0,-73.92000000000002,1
33,1,0,0,0,1,0,0,0,0.0,-72.39,1
34,0,1,1,1,1,0,1,1,0.125,-77.39000000000001,1
35,1,0,1,0,0,1,1,0,0.125,-99.94000000000001,1
36,1,0,1,1,1,0,0,0,0.0,-64.54,1
