,x_0,x_1,x_2,x_3,x_4,x_5,x_6,chain_break_fraction,energy,num_occurrences
0,1,0,0,0,0,1,1,0.0,-28.19,1762
1,0,1,1,1,1,0,0,0.0,-28.19,1293
2,1,0,0,0,1,1,1,0.0,-27.01,325
3,0,1,1,1,0,0,0,0.0,-27.01,486
4,1,1,1,1,1,0,0,0.0,-22.430000000000003,38
5,0,0,0,0,0,1,1,0.0,-22.43,37
6,1,1,1,1,0,0,0,0.0,-20.17,5
7,0,0,0,0,1,1,1,0.0,-20.17,6
8,1,0,0,0,0,1,0,0.0,-19.52,16
9,0,1,1,1,1,0,1,0.0,-19.520000000000003,17
10,0,1,1,1,0,0,1,0.0,-17.680000000000003,5
11,1,1,1,1,1,0,1,0.0,-12.100000000000001,1
12,1,1,0,0,0,1,1,0.0,-9.180000000000001,2
13,1,1,1,0,0,1,1,0.0,-8.510000000000005,1
14,0,0,0,0,0,0,1,0.0,-7.19,1
15,1,0,0,0,0,0,1,0.0,-7.17,1
16,1,1,0,0,0,1,1,0.14285714285714285,-9.180000000000001,1
17,0,1,1,0,1,0,0,0.0,-5.36,1
18,0,1,1,1,0,0,0,0.14285714285714285,-27.01,1
19,0,1,1,1,0,0,0,0.14285714285714285,-27.01,1
