,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0.0,-130.28,1722
1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0.0,-130.27999999999997,1275
2,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0.0,-120.37000000000002,333
3,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0.0,-120.36999999999999,199
4,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0.0,-113.08999999999999,25
5,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0.0,-113.09,21
6,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0.0625,-130.28,1
7,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0.0,-106.3,3
8,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0.0,-106.3,11
9,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0.0,-105.67000000000002,3
10,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0.0,-105.67,2
11,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0.0,-104.35000000000001,62
12,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0.0,-104.34999999999997,2
13,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0.0,-104.01000000000002,75
14,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0.0,-104.00999999999999,24
15,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0.0,-103.35999999999999,1
16,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0.0625,-130.28,1
17,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0.0,-102.44999999999999,3
18,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0.0,-102.45000000000002,7
19,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0.0,-101.73,2
20,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0.0,-101.72999999999998,1
21,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0.0,-100.28,11
22,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0.0,-100.27999999999996,7
23,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0.0,-99.85999999999997,1
24,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0.0,-99.86000000000001,2
25,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0.0,-99.58000000000001,3
26,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0.0,-97.72999999999998,9
27,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0.0,-97.73,12
28,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0.0,-97.27000000000001,2
29,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0.0,-97.26999999999998,7
30,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0.0,-97.24000000000001,1
31,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0.0,-97.24000000000001,1
32,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0.0,-97.20999999999998,1
