,x_0,x_1,x_2,x_3,chain_break_fraction,energy,num_occurrences
0,1,0,1,1,0.0,-15.85,2599
1,0,1,0,0,0.0,-15.85,1400
2,0,0,1,1,0.0,-4.02,1
