,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_2,x_20,x_21,x_22,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0.0,-235.8099999999999,99
1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0.0,-235.81000000000006,213
2,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0.0,-227.37000000000006,25
3,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0.0,-227.3699999999999,33
4,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0.0,-224.12999999999994,81
5,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0.0,-224.13000000000005,85
6,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,-223.49,49
7,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0.0,-223.48999999999984,15
8,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0.0,-223.05,84
9,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0.0,-223.04999999999993,10
10,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0.0,-222.57999999999987,53
11,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,-222.58000000000004,83
12,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0.0,-222.40999999999997,128
13,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0.0,-222.41000000000008,159
14,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,-221.40000000000003,70
15,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0.0,-221.39999999999986,45
16,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0.0,-216.82,43
17,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0.0,-216.81999999999994,10
18,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0.0,-216.48999999999998,5
19,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0.0,-216.49000000000007,88
20,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0.0,-216.31999999999996,6
21,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0.0,-216.32000000000002,8
22,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0.0,-216.3099999999999,26
23,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0.0,-216.31000000000012,43
24,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0.0,-215.02999999999992,2
25,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0.0,-215.03000000000006,18
26,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0.0,-214.18999999999997,8
27,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0.0,-214.19000000000008,23
28,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0.0,-213.33000000000004,37
29,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0.0,-213.32999999999998,41
30,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0.0,-213.19,15
31,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0.0,-213.19000000000003,37
32,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0.0,-213.11999999999995,15
33,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,-213.12,28
34,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0.0,-212.4899999999999,15
35,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0.0,-212.49000000000007,15
36,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0.0,-212.37000000000003,8
37,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0.0,-212.3699999999999,1
38,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0.0,-212.13000000000002,6
39,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0.0,-212.12999999999997,9
40,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0.0,-212.01000000000005,86
41,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0.0,-212.00999999999993,58
42,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,-211.91000000000003,5
43,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0.0,-211.90999999999985,10
44,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0.0,-209.17999999999992,1
45,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0.0,-209.18000000000004,14
46,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0.0,-207.87000000000006,10
47,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0.0,-207.86999999999992,1
48,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0.0,-207.64000000000004,4
49,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0.0,-207.4799999999999,1
50,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0.0,-207.48000000000008,7
51,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0.0,-207.35000000000005,3
52,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0.0,-207.2399999999999,8
53,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,-207.24,7
54,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0.0,-207.07999999999987,1
55,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,-207.07999999999998,2
56,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0.0,-206.5900000000001,3
57,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0.0,-206.58999999999992,5
58,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,-206.44,4
59,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0.0,-206.43999999999994,7
60,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.043478260869565216,-222.58000000000004,5
61,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0.043478260869565216,-222.57999999999987,4
62,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0.0,-206.0300000000001,1
