,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0.0,-100.88000000000002,565
1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0.0,-100.88,318
2,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0.0,-98.69000000000001,102
3,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0.0,-98.69,54
4,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0.0,-96.57999999999998,102
5,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,-96.57999999999998,45
6,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0.0,-95.71000000000001,33
7,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0.0,-95.71000000000001,190
8,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0.0,-94.63999999999999,213
9,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0.0,-94.63999999999996,25
10,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0.0625,-84.24999999999997,294
11,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0.0625,-84.24999999999997,182
12,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0.0,-94.00999999999999,28
13,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0.0,-94.01000000000002,59
14,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0.0,-93.91999999999999,103
15,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0.0,-93.91999999999999,12
16,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0.0,-93.41999999999999,24
17,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0.0,-93.42000000000002,170
18,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0.0,-93.22000000000001,22
19,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0.0,-93.21999999999998,50
20,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0.0,-92.83999999999999,24
21,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0.0,-92.84,156
22,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0.0,-92.4,13
23,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0.0,-92.39999999999998,14
24,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0.0,-89.75,31
25,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0.0,-89.74999999999999,4
26,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0.0,-89.52,19
27,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0.0,-89.52,1
28,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0.0,-89.23,42
29,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0.0,-89.22999999999999,10
30,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0.0,-89.10999999999997,4
31,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0.0,-89.10999999999999,10
32,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0.0,-88.72,28
33,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0.0,-88.72,8
34,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0.0,-88.03999999999999,17
35,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0.0,-88.04000000000003,39
36,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0.0,-87.63,1
37,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,-87.37999999999997,9
38,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0.0,-87.38,4
39,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0.0,-87.10999999999999,10
40,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0.0,-87.10999999999999,1
41,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0.0,-86.49,22
42,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0.0,-86.49000000000001,2
43,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0.0,-86.49000000000001,2
44,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0.0,-86.49,2
45,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0.0,-86.31,8
46,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0.0,-86.31,6
47,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0.0,-85.91000000000001,1
48,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0.0,-85.78000000000002,3
49,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0.0625,-84.24999999999997,3
50,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0.0625,-84.24999999999997,2
51,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0.0,-85.22000000000003,8
52,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0.0,-85.21999999999998,3
53,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0.0,-85.19999999999999,2
54,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0.0,-84.94,2
55,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0.0,-84.94000000000001,4
56,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0.0,-84.72999999999999,2
57,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0.0,-84.72999999999999,6
58,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0.0,-84.63,3
59,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0.0,-84.63,3
60,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0.0,-84.4,13
61,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0.0,-84.39999999999999,6
62,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0.0,-84.20000000000002,28
63,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0.0,-84.2,6
64,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0.0,-83.98000000000002,1
65,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0.0,-83.92000000000002,8
66,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0.0,-83.91999999999999,3
67,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0.0,-83.78000000000003,2
68,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0.0,-83.77999999999999,6
69,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0.0,-83.78,3
70,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0.0,-83.78000000000002,16
71,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0.0,-83.55,3
72,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0.0,-83.41000000000003,3
73,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0.0,-83.41000000000001,4
74,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0.0625,-70.39999999999999,7
75,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0.0625,-70.4,22
76,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0.0,-83.2,8
77,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0.0,-83.2,1
78,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0.0,-83.13,1
79,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0.0,-83.12999999999998,3
80,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0.0,-83.05999999999999,2
81,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0.0,-83.0,9
82,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0.0625,-72.08,22
83,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0.0625,-72.07999999999998,11
84,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0.0,-82.91,9
85,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0.0,-82.91000000000001,12
86,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0.0,-82.87999999999998,1
87,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0.0,-82.87999999999998,4
88,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0.0,-82.87,14
89,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0.0,-82.87,3
90,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0.0,-82.75,3
91,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0.0,-82.74999999999997,1
92,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0.0,-82.46000000000001,4
93,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0.0,-82.46,2
94,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0.0,-82.29999999999998,3
95,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0.0,-82.09,3
96,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0.0,-82.09,4
97,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0.0625,-71.2,23
98,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0.0625,-71.19999999999999,11
99,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0.0,-81.64999999999999,3
100,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0.0,-81.64999999999998,1
101,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0.0,-81.31,2
102,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0.0,-81.30999999999999,1
103,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0.0,-81.28,3
