,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0.0,-123.96000000000001,32
1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0.0,-123.96000000000002,211
2,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0.0,-122.27000000000001,139
3,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0.0,-122.27000000000002,323
4,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0.0,-120.77000000000002,44
5,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0.0,-120.77000000000001,23
6,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0.0,-118.65000000000002,40
7,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0.0,-118.65000000000002,32
8,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0.0,-117.93000000000002,66
9,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0.0,-117.93,6
10,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0.0,-117.80000000000001,102
11,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0.0,-117.80000000000004,87
12,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0.0,-115.40000000000002,25
13,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0.0,-115.39999999999998,17
14,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0.0,-115.38000000000001,31
15,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0.0,-115.37999999999998,38
16,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0.0,-115.35999999999999,44
17,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0.0,-115.35999999999999,46
18,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0.0,-113.84000000000002,122
19,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0.0,-113.84000000000002,58
20,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0.0,-112.39,72
21,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0.0,-112.39,86
22,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0.0,-110.83000000000003,61
23,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0.0,-110.83000000000001,22
24,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0.0,-110.82000000000001,13
25,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0.0,-110.82000000000002,12
26,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0.0,-110.65,57
27,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0.0,-110.65,6
28,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0.0,-110.36,80
29,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0.0,-110.36000000000001,14
30,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0,-109.85,46
31,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0.0,-109.85000000000001,50
32,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0.0,-109.59,10
33,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0.0,-109.59000000000002,8
34,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0.0,-109.51000000000002,1
35,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0.0,-109.51000000000005,4
36,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0.0,-109.47,17
37,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0.0,-109.47,12
38,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0.0,-109.23999999999998,32
39,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0.0,-109.24,22
40,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0.0,-109.13000000000001,18
41,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0.0,-109.13,7
42,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0.0,-108.73999999999998,69
43,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0.0,-108.73999999999998,119
44,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0.0,-108.50999999999999,17
45,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0.0,-108.50999999999999,54
46,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0.0,-108.39999999999998,51
47,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0.0,-108.4,46
48,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0.0,-108.18000000000002,14
49,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0.0,-108.17999999999998,16
50,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0.0,-108.09000000000002,2
51,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0.0,-108.05000000000001,7
52,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0.0,-108.05000000000001,2
53,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0.0,-107.27000000000002,36
54,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0.0,-107.27000000000002,28
55,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0.0,-106.62,18
56,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0.0,-106.62,40
57,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0.0,-106.46000000000001,2
58,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0.0,-106.46000000000001,8
59,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0.0,-106.16000000000003,3
60,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0.0,-105.81,10
61,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0.0,-105.81,7
62,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0.05555555555555555,-108.09000000000002,2
63,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0.05555555555555555,-108.09000000000002,3
64,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0.0,-105.55000000000003,24
65,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0.0,-105.54999999999998,8
66,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0.0,-105.48000000000003,21
67,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0.0,-105.48,8
68,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0.0,-105.4,16
69,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0.0,-105.4,14
70,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0.0,-105.32000000000002,5
