,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_2,x_20,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0.0,-694.32,24
1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0.0,-694.3199999999999,28
2,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0.0,-692.6899999999995,29
3,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0.0,-692.6899999999998,16
4,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0.0,-690.4300000000001,62
5,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0.0,-690.4299999999996,48
6,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0.0,-689.8099999999996,12
7,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0.0,-689.81,6
8,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0.0,-689.1799999999995,11
9,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0.0,-689.1799999999998,15
10,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,-686.7400000000001,20
11,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0.0,-686.7400000000001,18
12,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0.0,-685.0899999999996,7
13,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.0,-685.0900000000001,14
14,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0.0,-682.9399999999997,6
15,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0.0,-682.9399999999998,1
16,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0.0,-682.7499999999999,2
17,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0.0,-682.75,3
18,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0.0,-682.6199999999995,2
19,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0.0,-682.6199999999997,3
20,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0.0,-682.3499999999995,1
21,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0.0,-682.3499999999998,2
22,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0.0,-682.1599999999996,6
23,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0.0,-682.1599999999999,7
24,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0.0,-681.9699999999997,14
25,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0.0,-681.9700000000001,6
26,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0.0,-681.7599999999995,2
27,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0.0,-681.5100000000001,23
28,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,-681.5100000000001,5
29,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0.0,-681.3499999999996,14
30,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0.0,-681.3500000000003,1
31,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0.0,-680.5199999999999,7
32,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0.0,-680.49,5
33,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0.0,-680.4899999999999,2
34,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0.0,-679.7799999999999,6
35,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0.0,-679.78,4
36,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0.0,-679.62,6
37,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0.0,-679.6199999999997,3
38,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0.0,-679.5399999999996,2
39,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0.0,-679.5399999999997,1
40,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0.0,-679.52,10
41,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0.0,-679.5199999999999,8
42,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0.0,-679.4299999999998,3
43,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0.0,-678.9399999999996,4
44,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0.0,-678.9400000000003,5
45,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0.0,-678.86,1
46,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0.0,-678.8600000000001,6
47,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0.0,-678.8199999999996,3
48,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0.0,-678.8199999999999,1
49,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0.0,-678.3399999999998,7
50,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0.0,-678.34,3
