,x_0,x_1,x_10,x_11,x_12,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,0,1,1,0,1,1,1,0,1,0,0,1,0.0,-62.79,497
1,1,1,0,0,1,0,0,0,1,0,1,1,0,0.0,-62.78999999999999,286
2,0,0,1,1,0,1,1,1,0,0,0,0,1,0.0,-62.22999999999999,730
3,1,1,0,0,1,0,0,0,1,1,1,1,0,0.0,-62.23,260
4,1,0,0,0,1,0,0,0,1,1,1,1,0,0.0,-58.94,36
5,0,1,1,1,0,1,1,1,0,0,0,0,1,0.0,-58.94,130
6,1,1,1,0,1,0,0,1,1,1,1,1,0,0.0,-58.8,75
7,0,0,0,1,0,1,1,0,0,0,0,0,1,0.0,-58.8,329
8,1,0,0,1,0,1,1,0,1,0,1,0,1,0.0,-58.019999999999996,263
9,0,1,1,0,1,0,0,1,0,1,0,1,0,0.0,-58.019999999999996,142
10,1,1,1,0,1,0,0,1,1,0,1,1,0,0.0,-57.08,32
11,0,0,0,1,0,1,1,0,0,1,0,0,1,0.0,-57.080000000000005,86
12,0,0,0,0,1,1,1,0,0,1,0,1,0,0.0,-55.870000000000005,26
13,1,1,1,1,0,0,0,1,1,0,1,0,1,0.0,-55.87,12
14,1,0,1,0,1,0,0,1,0,1,1,1,0,0.0,-55.71999999999999,22
15,0,1,0,1,0,1,1,0,1,0,0,0,1,0.0,-55.719999999999985,59
16,0,0,1,0,1,0,1,1,0,1,0,1,0,0.0,-55.410000000000004,11
17,1,1,0,1,0,1,0,0,1,0,1,0,1,0.0,-55.41,32
18,0,0,1,1,0,0,1,1,0,1,0,0,1,0.0,-54.9,12
19,1,1,0,0,1,1,0,0,1,0,1,1,0,0.0,-54.9,29
20,0,0,1,0,1,1,1,1,0,1,0,1,0,0.0,-54.88,23
21,1,1,0,1,0,0,0,0,1,0,1,0,1,0.0,-54.879999999999995,19
22,1,1,0,1,0,1,1,0,1,0,1,0,1,0.0,-54.849999999999994,56
23,0,0,1,0,1,0,0,1,0,1,0,1,0,0.0,-54.85,12
24,0,1,0,1,0,1,1,0,0,0,0,0,1,0.0,-54.64999999999999,36
25,1,0,1,0,1,0,0,1,1,1,1,1,0,0.0,-54.650000000000006,5
26,0,0,0,1,0,1,1,0,1,0,1,0,1,0.0,-54.00999999999999,16
27,1,1,1,0,1,0,0,1,0,1,0,1,0,0.0,-54.00999999999999,11
28,1,0,1,1,0,0,1,1,1,0,1,0,1,0.0,-53.70000000000001,4
29,0,1,0,0,1,1,0,0,0,1,0,1,0,0.0,-53.7,41
30,1,0,0,1,0,0,1,0,1,0,1,0,1,0.0,-53.650000000000006,20
31,0,1,1,0,1,1,0,1,0,1,0,1,0,0.0,-53.65,53
32,1,1,1,0,1,0,0,1,0,1,1,1,0,0.0,-53.41,16
33,0,0,0,1,0,1,1,0,1,0,0,0,1,0.0,-53.41,26
34,0,1,0,0,1,1,0,0,1,0,0,1,0,0.0,-53.31,14
35,1,0,1,1,0,0,1,1,0,1,1,0,1,0.0,-53.309999999999995,2
36,0,1,1,1,1,1,0,1,0,0,0,0,0,0.0,-53.11000000000001,78
37,1,0,0,0,0,0,1,0,1,1,1,1,1,0.0,-53.11,3
38,1,1,1,1,0,0,1,1,1,0,1,0,1,0.0,-52.71,5
39,0,0,0,0,1,1,0,0,0,1,0,1,0,0.0,-52.71000000000001,25
40,0,0,1,1,0,1,1,1,0,1,1,0,1,0.0,-52.57,2
41,1,1,0,0,1,0,0,0,1,0,0,1,0,0.0,-52.56999999999999,1
42,0,0,1,1,0,0,1,1,0,1,1,0,1,0.0,-52.52,1
43,1,1,0,0,1,1,0,0,1,0,0,1,0,0.0,-52.52,3
44,1,0,0,1,0,1,1,1,1,0,1,0,1,0.0,-52.33,23
45,0,1,1,0,1,0,0,0,0,1,0,1,0,0.0,-52.330000000000005,13
46,0,0,1,0,1,1,0,1,0,1,0,1,0,0.0,-51.8,16
47,1,1,0,1,0,0,1,0,1,0,1,0,1,0.0,-51.8,10
48,1,0,0,0,1,0,0,0,0,1,1,1,0,0.0,-51.690000000000005,7
49,0,1,1,1,0,1,1,1,1,0,0,0,1,0.0,-51.68999999999999,13
50,1,1,1,0,1,0,0,1,1,0,0,1,0,0.0,-51.60000000000001,1
51,0,0,0,1,0,1,1,0,0,1,1,0,1,0.0,-51.6,8
52,1,0,0,0,0,1,1,0,1,0,1,1,1,0.0,-51.42,9
53,0,1,1,1,1,0,0,1,0,1,0,0,0,0.0,-51.42,7
54,0,0,1,1,0,0,1,1,0,0,0,0,1,0.0,-51.099999999999994,7
55,1,1,0,0,1,1,0,0,1,1,1,1,0,0.0,-51.10000000000001,4
56,0,1,1,1,1,1,0,1,0,1,0,0,0,0.0,-50.95,22
57,1,0,0,0,0,0,1,0,1,0,1,1,1,0.0,-50.95,3
58,1,0,1,1,0,0,1,1,0,1,1,1,1,0.0,-50.59,2
59,0,1,0,0,1,1,0,0,1,0,0,0,0,0.0,-50.59,23
60,1,0,0,0,0,1,1,0,1,1,1,1,1,0.0,-50.34,6
61,0,1,1,1,1,0,0,1,0,0,0,0,0,0.0,-50.34,12
62,1,1,0,0,1,0,0,0,1,1,1,1,0,0.07692307692307693,-62.23,1
63,0,0,0,0,0,1,1,0,0,1,0,1,1,0.0,-50.040000000000006,5
64,1,1,1,1,1,0,0,1,1,0,1,0,0,0.0,-50.040000000000006,8
65,0,0,1,0,0,1,1,1,0,0,0,0,1,0.0,-49.62999999999999,3
66,1,1,0,1,1,0,0,0,1,1,1,1,0,0.0,-49.629999999999995,2
67,0,1,1,1,0,1,1,1,0,1,0,0,1,0.0,-49.419999999999995,5
68,1,0,0,0,1,0,0,0,1,0,1,1,0,0.0,-49.419999999999995,1
69,1,0,0,0,0,1,1,0,1,0,1,0,1,0.0,-49.16,3
70,0,1,1,1,1,0,0,1,0,1,0,1,0,0.0,-49.16,7
71,1,0,0,0,1,1,0,0,1,1,1,1,0,0.0,-49.13,2
72,0,1,1,1,0,0,1,1,0,0,0,0,1,0.0,-49.13000000000001,3
73,0,0,0,1,0,1,1,0,0,0,1,0,1,0.0,-48.82000000000001,3
74,1,1,1,0,1,0,0,1,1,1,0,1,0,0.0,-48.819999999999986,1
75,0,0,1,1,0,1,1,1,0,1,0,0,1,0.07692307692307693,-62.79,2
76,0,1,1,0,1,1,0,1,0,0,0,0,0,0.0,-48.730000000000004,11
77,1,0,0,1,0,0,1,0,1,1,1,1,1,0.0,-48.730000000000004,3
78,1,1,1,1,1,0,0,1,1,1,1,1,0,0.0,-48.69999999999999,3
79,0,0,0,0,0,1,1,0,0,0,0,0,1,0.0,-48.7,4
80,0,0,1,1,0,1,1,1,1,0,0,0,1,0.0,-48.52,1
81,0,1,1,1,0,1,0,1,0,0,0,0,1,0.0,-48.48,5
82,1,0,0,0,1,0,1,0,1,1,1,1,0,0.0,-48.48,1
83,0,0,1,0,0,1,1,1,0,1,0,0,1,0.0,-48.309999999999995,3
84,1,1,1,1,1,0,0,1,0,1,1,1,0,0.0,-48.29,2
85,0,0,0,0,0,1,1,0,1,0,0,0,1,0.0,-48.29,1
86,0,0,0,1,0,1,1,0,1,0,0,0,1,0.07692307692307693,-53.41,1
87,1,0,0,1,0,1,1,0,0,1,1,0,1,0.0,-48.17000000000001,3
88,0,0,1,0,0,1,1,1,0,1,0,1,1,0.0,-47.88999999999999,2
89,1,1,0,1,1,0,0,0,1,0,1,0,0,0.0,-47.89,5
90,0,1,0,1,1,1,0,0,0,0,0,0,0,0.0,-47.580000000000005,11
91,1,0,1,0,0,0,1,1,1,1,1,1,1,0.0,-47.579999999999984,1
92,1,1,0,1,0,1,0,1,1,0,1,0,1,0.0,-47.56,3
93,1,1,1,0,1,0,0,0,1,0,0,1,0,0.0,-47.51,2
94,0,0,0,1,0,1,1,1,0,1,1,0,1,0.0,-47.510000000000005,2
95,0,1,0,1,1,1,0,0,1,0,0,0,0,0.0,-47.489999999999995,8
96,1,0,0,1,0,1,1,0,1,0,1,0,1,0.07692307692307693,-58.019999999999996,1
97,1,0,0,1,0,1,1,0,0,0,1,0,1,0.0,-47.05,5
98,0,1,1,0,1,0,0,1,1,1,0,1,0,0.0,-47.04999999999998,2
99,0,1,0,0,1,0,0,0,0,1,0,1,0,0.0,-47.03,1
100,1,1,0,1,0,1,1,1,1,0,1,0,1,0.0,-46.879999999999995,1
101,0,0,0,1,0,1,1,0,0,0,0,0,1,0.07692307692307693,-58.8,2
102,0,1,0,1,0,1,0,0,1,0,0,0,1,0.0,-46.78,1
103,1,0,1,1,0,0,1,1,0,0,1,0,1,0.0,-46.669999999999995,1
104,0,1,0,0,1,1,0,0,1,1,0,1,0,0.0,-46.669999999999995,4
105,0,0,0,1,0,1,1,0,0,0,0,0,1,0.07692307692307693,-58.8,9
106,0,0,0,1,0,1,1,1,0,0,1,0,1,0.0,-46.589999999999996,1
107,1,1,0,0,1,0,0,1,1,0,1,1,0,0.07692307692307693,-44.64,2
108,0,0,1,1,0,1,1,0,0,1,0,0,1,0.07692307692307693,-44.64,4
109,1,0,0,0,0,1,1,0,0,1,1,1,1,0.0,-46.31,1
110,0,1,1,1,1,0,0,1,1,0,0,0,0,0.0,-46.309999999999995,3
111,1,0,0,0,1,1,0,0,0,1,1,1,0,0.0,-46.260000000000005,2
112,0,1,1,1,0,0,1,1,1,0,0,0,1,0.0,-46.26,3
113,0,0,1,1,0,1,1,0,0,1,0,0,1,0.07692307692307693,-44.64,4
114,1,0,0,1,0,1,1,1,0,0,1,0,1,0.0,-45.9,2
115,0,1,1,0,1,0,0,0,1,1,0,1,0,0.0,-45.900000000000006,1
116,0,0,1,1,0,1,1,1,0,1,0,1,1,0.0,-45.83,2
117,1,1,0,0,1,0,0,0,1,0,1,0,0,0.0,-45.83,1
118,0,1,0,0,1,1,0,0,0,0,0,0,0,0.0,-45.7,4
119,0,1,0,1,0,1,1,0,0,0,0,0,1,0.07692307692307693,-54.64999999999999,2
120,0,1,1,0,1,0,0,1,1,0,0,0,0,0.0,-45.489999999999995,1
121,1,0,0,1,0,1,1,0,0,1,1,1,1,0.0,-45.49000000000001,2
122,0,0,0,1,0,1,1,0,0,1,0,1,1,0.0,-45.480000000000004,3
123,1,1,1,0,1,0,0,1,1,0,1,0,0,0.0,-45.48,1
124,0,1,1,0,1,1,0,1,1,0,0,0,0,0.0,-45.300000000000004,4
125,0,1,1,0,1,0,0,0,1,0,0,1,0,0.0,-45.160000000000004,1
126,1,0,0,1,0,1,1,1,0,1,1,0,1,0.0,-45.16,2
127,1,0,0,1,0,1,1,0,1,1,1,0,1,0.0,-44.92000000000001,1
