,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,1,0,1,1,0,0,1,1,0,0,0.0,-191.57000000000002,1930
1,0,1,0,0,1,1,0,0,1,1,0.0,-191.56999999999994,871
2,0,1,0,0,1,1,0,1,1,1,0.0,-186.81999999999996,392
3,1,0,1,1,0,0,1,0,0,0,0.0,-186.82,207
4,1,0,1,1,0,0,1,0,1,0,0.0,-182.75999999999996,112
5,0,1,0,0,1,1,0,1,0,1,0.0,-182.76,169
6,0,1,0,0,1,0,0,1,1,1,0.0,-181.57,39
7,1,0,1,1,0,1,1,0,0,0,0.0,-181.57000000000002,29
8,0,1,1,0,1,1,0,1,0,1,0.0,-178.78,50
9,1,0,0,1,0,0,1,0,1,0,0.0,-178.78,17
10,1,0,1,1,1,0,1,0,0,0,0.0,-178.52,11
11,0,1,0,0,0,1,0,1,1,1,0.0,-178.51999999999998,28
12,1,0,0,1,0,1,1,0,1,0,0.0,-176.54999999999998,8
13,0,1,1,0,1,0,0,1,0,1,0.0,-176.55,13
14,1,0,1,1,0,1,1,1,0,0,0.0,-176.34000000000003,12
15,1,0,1,1,0,0,1,1,0,1,0.0,-175.74,25
16,0,1,0,0,1,1,0,0,1,0,0.0,-175.73999999999995,9
17,0,1,0,0,1,1,0,1,1,0,0.0,-175.24999999999997,13
18,1,0,1,1,0,0,1,0,0,1,0.0,-175.24999999999997,18
19,0,1,0,0,1,0,0,1,0,1,0.0,-174.39000000000001,5
20,1,0,1,1,0,1,1,0,1,0,0.0,-174.39000000000001,4
21,1,0,1,1,0,0,1,1,1,0,0.0,-173.61,4
22,0,0,1,1,0,1,1,1,0,0,0.0,-172.93,3
23,0,0,1,1,0,0,1,1,0,0,0.0,-172.38000000000002,3
24,1,1,0,0,1,1,0,0,1,1,0.0,-172.37999999999994,4
25,0,1,0,0,0,1,1,1,1,0,0.0,-170.70000000000002,4
26,1,0,1,1,1,0,0,0,0,1,0.0,-170.69999999999996,1
27,1,1,0,0,1,1,0,0,0,1,0.0,-168.69999999999996,1
28,1,0,1,1,1,0,1,0,0,1,0.0,-166.23,1
29,0,1,1,0,1,1,0,1,1,1,0.0,-163.48,6
30,0,0,0,1,0,1,1,1,1,0,0.0,-163.37,1
31,0,1,0,0,0,1,0,1,0,1,0.1,-157.46,1
32,1,1,1,1,0,0,1,0,0,1,0.0,-162.34,2
33,0,1,1,1,0,1,1,1,0,0,0.0,-159.3,1
34,1,0,0,0,1,0,0,0,1,1,0.0,-159.29999999999998,1
35,0,1,1,0,0,1,0,1,0,1,0.1,-153.44000000000003,1
36,0,1,0,0,0,1,0,1,1,1,0.1,-178.51999999999998,1
37,0,1,1,1,0,0,1,1,0,0,0.0,-153.83,1
38,1,1,1,0,0,0,1,1,0,1,0.0,-151.19000000000003,1
39,0,1,1,0,1,1,0,1,1,0,0.0,-150.15,1
