,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0.0,-108.52999999999997,454
1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0.0,-108.52999999999997,202
2,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0.0,-106.44999999999999,155
3,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0.0,-106.45,116
4,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0.0,-106.35,47
5,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0.0,-106.34999999999997,95
6,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0.0,-104.92,120
7,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0.0,-104.91999999999999,291
8,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0.0,-104.77000000000002,81
9,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0.0,-104.77000000000001,295
10,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0.0,-101.67000000000002,1
11,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0.0,-101.66999999999993,61
12,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0.0,-101.54,79
13,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0.0,-101.53999999999999,437
14,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0.058823529411764705,-108.52999999999997,10
15,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0.058823529411764705,-79.24999999999997,7
16,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0.0,-98.58000000000001,31
17,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0.0,-98.58000000000001,56
18,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0.0,-97.38999999999999,88
19,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0.0,-97.39000000000001,14
20,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0.0,-96.36000000000001,29
21,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0.0,-96.35999999999999,22
22,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0.0,-95.99000000000001,17
23,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0.0,-95.99,12
24,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0.0,-94.99000000000004,19
