,x_0,x_1,x_10,x_11,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,1,0,1,1,1,0,0,1,0,0,0,0.0,-48.25,1768
1,1,0,1,0,0,0,1,1,0,1,1,1,0.0,-48.25,759
2,0,1,0,1,1,1,0,0,0,0,0,0,0.0,-46.06,386
3,1,0,1,0,0,0,1,1,1,1,1,1,0.0,-46.059999999999995,288
4,0,1,0,1,1,1,0,0,1,0,0,1,0.0,-44.339999999999996,255
5,1,0,1,0,0,0,1,1,0,1,1,0,0.0,-44.339999999999996,96
6,1,0,1,0,0,0,1,1,1,1,1,0,0.0,-41.21,23
7,0,1,0,1,1,1,0,0,0,0,0,1,0.0,-41.21000000000001,30
8,1,0,1,0,0,0,0,1,0,1,1,1,0.0,-36.36,16
9,0,1,0,1,1,1,1,0,1,0,0,0,0.0,-36.359999999999985,78
10,0,1,0,0,1,1,0,0,1,0,0,0,0.0,-35.88,6
11,1,0,1,1,0,0,1,1,0,1,1,1,0.0,-35.88000000000001,15
12,0,0,0,1,1,1,1,0,0,0,0,0,0.0,-35.76,80
13,1,1,1,0,0,0,0,1,1,1,1,1,0.0,-35.75999999999999,13
14,0,1,0,0,1,1,0,0,1,0,0,0,0.08333333333333333,-35.88,16
15,1,0,1,1,0,0,1,1,0,1,1,1,0.08333333333333333,-35.88000000000001,10
16,0,1,0,1,1,1,1,0,0,0,0,0,0.0,-34.129999999999995,21
17,1,0,1,0,0,0,0,1,1,1,1,1,0.0,-34.129999999999995,6
18,0,1,0,1,0,1,0,0,0,0,0,1,0.0,-32.47,22
19,1,0,1,0,1,0,1,1,1,1,1,0,0.0,-32.47,7
20,0,0,0,1,1,1,1,1,0,0,1,0,0.0,-31.94,19
21,1,1,1,0,0,0,0,0,1,1,0,1,0.0,-31.939999999999998,1
22,0,0,0,1,1,1,1,0,1,0,0,0,0.0,-31.529999999999998,17
23,1,0,1,1,0,0,1,1,0,1,1,1,0.08333333333333333,-35.88000000000001,2
24,1,0,0,1,0,0,1,1,0,1,1,1,0.0,-30.659999999999993,2
25,0,1,0,1,0,1,0,0,1,0,0,1,0.0,-29.719999999999995,7
26,1,0,1,0,1,0,1,1,0,1,1,0,0.0,-29.72,3
27,0,1,0,1,0,1,0,0,0,0,0,0,0.0,-29.48,7
28,1,0,1,0,1,0,1,1,1,1,1,1,0.0,-29.480000000000004,7
29,1,0,1,1,0,0,1,1,1,1,1,1,0.0,-28.70999999999999,1
30,0,1,0,1,1,1,1,0,1,0,0,1,0.0,-27.90999999999999,4
31,0,1,1,0,1,1,0,0,0,0,0,0,0.0,-27.269999999999996,1
32,0,0,0,1,1,1,1,1,0,0,1,1,0.0,-26.429999999999996,3
33,1,1,1,0,0,0,0,0,1,1,0,0,0.0,-26.429999999999996,1
34,0,1,0,1,0,1,0,0,1,0,0,0,0.0,-25.79,4
35,0,0,1,0,0,0,1,1,0,0,1,0,0.0,-25.75,5
36,1,1,1,0,0,0,0,1,1,1,1,0,0.0,-25.709999999999997,1
37,0,0,0,1,1,1,1,0,0,0,0,1,0.0,-25.709999999999997,2
38,0,0,1,0,0,0,1,1,0,0,1,1,0.0,-25.54,1
39,0,0,0,1,1,1,1,1,1,0,1,0,0.0,-23.089999999999996,2
40,0,0,0,1,0,0,1,1,0,0,1,1,0.0,-22.95,1
41,1,0,1,0,0,0,1,1,1,1,1,1,0.08333333333333333,-46.059999999999995,1
42,1,0,1,1,0,0,1,1,0,1,1,0,0.0,-20.429999999999996,2
43,0,0,0,1,0,1,1,0,0,0,0,0,0.0,-19.34,1
44,0,1,1,0,0,1,0,0,0,0,0,0,0.0,-19.049999999999997,1
45,0,0,0,1,0,1,1,1,0,0,1,1,0.0,-18.569999999999993,1
46,1,0,0,1,1,1,1,0,1,1,0,0,0.0,-17.81999999999999,1
47,0,1,0,1,1,1,0,0,0,0,0,0,0.08333333333333333,-46.06,1
48,0,1,0,0,0,1,0,0,1,0,0,0,0.0,-16.459999999999997,1
49,0,0,0,1,0,1,1,1,0,0,1,0,0.0,-16.239999999999995,1
50,0,1,1,1,0,1,0,0,1,0,0,1,0.0,-16.180000000000003,1
51,1,0,1,1,1,0,1,1,1,1,1,1,0.0,-15.169999999999998,1
52,1,0,0,0,0,0,0,1,1,1,1,0,0.0,-7.799999999999997,1
53,1,0,1,0,0,0,1,1,1,1,1,1,0.08333333333333333,-46.059999999999995,1
