,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0.0,-123.96000000000001,88
1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0.0,-123.96000000000002,364
2,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0.0,-122.27000000000001,57
3,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0.0,-122.27000000000002,337
4,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0.0,-120.77000000000001,130
5,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0.0,-120.77000000000002,144
6,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0.0,-118.65000000000002,124
7,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0.0,-118.65000000000002,62
8,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0.0,-117.93,21
9,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0.0,-117.93000000000002,56
10,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0.0,-117.80000000000001,58
11,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0.0,-117.80000000000004,131
12,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0.0,-115.39999999999998,40
13,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0.0,-115.40000000000002,28
14,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0.0,-115.37999999999998,53
15,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0.0,-115.38000000000001,17
16,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0.0,-115.35999999999999,66
17,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0.0,-115.35999999999999,36
18,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0.0,-113.84000000000002,31
19,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0.0,-113.84000000000002,74
20,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0.0,-112.39,14
21,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0.0,-112.39,84
22,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0.0,-110.83000000000001,6
23,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0.0,-110.83000000000003,144
24,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0.0,-110.82000000000002,58
25,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0.0,-110.82000000000001,3
26,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0.0,-110.65,31
27,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0.0,-110.65,10
28,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0.0,-110.36000000000001,7
29,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0.0,-110.36,80
30,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0.0,-109.85000000000001,32
31,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0.0,-109.59000000000002,4
32,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0.0,-109.59,51
33,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0.0,-109.51000000000005,33
34,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0.0,-109.51000000000002,2
35,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0.0,-109.47,20
36,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0.0,-109.47,37
37,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0.0,-109.24,45
38,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0.0,-109.23999999999998,7
39,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0.0,-109.13,29
40,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0.0,-109.13000000000001,44
41,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0.0,-108.73999999999998,19
42,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0.0,-108.73999999999998,16
43,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0.0,-108.50999999999999,24
44,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0.0,-108.50999999999999,29
45,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0.0,-108.4,33
46,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0.0,-108.39999999999998,20
47,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0.0,-108.17999999999998,5
48,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0.0,-108.18000000000002,28
49,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0.0,-108.09000000000002,1
50,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0.0,-108.09000000000002,2
51,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0.0,-108.05000000000001,7
52,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0.0,-108.05000000000001,16
53,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0.0,-107.27000000000002,13
54,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0.0,-107.27000000000002,13
55,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0.0,-106.62,7
56,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0.0,-106.62,25
57,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0.0,-106.46000000000001,15
58,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0.0,-106.46000000000001,2
59,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0.05555555555555555,-108.4,18
60,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0.05555555555555555,-108.39999999999998,1
61,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0.0,-106.16,4
62,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0.0,-106.16000000000003,7
63,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0.0,-105.81,7
64,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0.0,-105.81,11
65,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0.0,-105.55000000000003,10
66,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0.0,-105.54999999999998,3
67,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0.0,-105.48,5
68,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0.0,-105.48000000000003,9
69,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0.0,-105.4,22
70,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0.0,-105.4,5
71,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0.0,-105.32,14
72,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0.0,-105.20999999999998,3
73,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0.0,-105.21000000000004,11
74,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0.0,-104.63999999999999,6
75,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0.0,-104.64000000000001,10
76,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0.0,-104.46999999999998,6
77,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0.0,-104.47000000000001,3
78,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0.0,-104.24000000000001,6
79,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0.0,-104.23999999999998,6
80,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0.0,-104.13000000000001,9
81,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0.0,-104.13000000000001,6
82,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0.0,-104.12000000000002,2
83,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0.0,-104.11999999999999,11
84,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0.0,-103.99,8
85,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0.0,-103.99000000000002,10
86,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0.0,-103.99000000000002,7
87,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.0,-103.99,11
88,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0.0,-103.68,3
89,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0.0,-103.68000000000002,6
90,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0.05555555555555555,-108.50999999999999,4
91,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0.05555555555555555,-108.50999999999999,3
