,x_0,x_1,x_2,x_3,x_4,x_5,chain_break_fraction,energy,num_occurrences
0,1,0,0,1,1,0,0.0,-75.73,1615
1,0,1,1,0,0,1,0.0,-75.72999999999999,1139
2,0,0,0,1,1,0,0.0,-73.52,847
3,1,1,1,0,0,1,0.0,-73.52,170
4,1,1,1,0,0,0,0.0,-70.14,47
5,0,0,0,1,1,1,0.0,-70.14,149
6,1,0,1,1,0,0,0.0,-64.31,10
7,0,1,0,0,1,1,0.0,-64.31,6
8,1,0,0,1,0,0,0.0,-63.050000000000004,5
9,0,1,1,0,1,1,0.0,-63.04999999999998,4
10,0,1,0,0,0,1,0.0,-60.209999999999994,3
11,1,0,1,1,1,0,0.0,-60.209999999999994,2
12,0,1,1,0,1,0,0.0,-58.329999999999984,1
13,1,0,0,0,1,0,0.0,-42.21000000000001,1
14,0,1,1,1,0,0,0.0,-39.42999999999999,1
