,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,chain_break_fraction,energy,num_occurrences
0,1,0,0,1,1,1,0,1,0,0.0,-31.139999999999993,236
1,0,1,1,0,0,0,1,0,1,0.0,-31.14,1008
2,0,1,0,1,1,1,0,0,0,0.0,-30.65,661
3,1,0,1,0,0,0,1,1,1,0.0,-30.649999999999995,722
4,0,1,1,0,0,0,1,0,0,0.0,-30.060000000000002,214
5,1,0,0,1,1,1,0,1,1,0.0,-30.05999999999999,112
6,0,1,1,1,0,0,1,0,0,0.0,-27.55,177
7,1,0,0,0,1,1,0,1,1,0.0,-27.55,41
8,0,1,0,1,1,1,0,0,1,0.0,-27.369999999999997,129
9,1,0,1,0,0,0,1,1,0,0.0,-27.369999999999997,57
10,0,1,0,0,1,1,0,0,1,0.0,-25.279999999999998,52
11,1,0,1,1,0,0,1,1,0,0.0,-25.279999999999998,41
12,0,0,1,0,0,0,1,0,1,0.0,-24.96,25
13,1,1,0,1,1,1,0,1,0,0.0,-24.959999999999994,7
14,0,1,1,1,1,0,1,0,0,0.0,-24.930000000000003,33
15,1,0,0,0,0,1,0,1,1,0.0,-24.929999999999996,17
16,0,0,1,1,0,0,1,1,0,0.0,-24.8,12
17,1,1,0,0,1,1,0,0,1,0.0,-24.799999999999997,14
18,1,1,0,0,0,1,0,1,0,0.0,-24.689999999999998,23
19,0,0,1,1,1,0,1,0,1,0.0,-24.689999999999998,52
20,1,0,0,0,0,1,0,1,0,0.0,-24.669999999999995,19
21,0,1,1,1,1,0,1,0,1,0.0,-24.67,60
22,0,1,1,1,0,0,1,0,1,0.0,-24.25,29
23,1,0,0,0,1,1,0,1,0,0.0,-24.249999999999993,5
24,1,0,1,1,0,0,1,1,1,0.0,-24.18,22
25,0,1,0,0,1,1,0,0,0,0.0,-24.18,15
26,1,0,1,1,1,0,1,1,1,0.0,-24.120000000000005,15
27,0,1,0,0,0,1,0,0,0,0.0,-24.12,23
28,0,1,1,1,1,1,0,0,0,0.0,-23.97,18
29,1,0,0,0,0,0,1,1,1,0.0,-23.969999999999995,8
30,0,1,1,1,1,1,0,0,1,0.0,-23.83,27
31,1,0,0,0,0,0,1,1,0,0.0,-23.829999999999995,2
32,0,0,1,1,1,0,1,0,0,0.0,-22.669999999999998,3
33,1,1,0,0,0,1,0,1,1,0.0,-22.669999999999998,2
34,0,1,1,0,0,1,0,0,1,0.0,-22.26,14
35,1,0,1,1,1,0,1,1,0,0.0,-22.180000000000003,4
36,0,1,0,0,0,1,0,0,1,0.0,-22.18,8
37,0,0,1,1,1,0,1,1,1,0.1111111111111111,-17.939999999999998,9
38,1,1,0,0,0,1,0,0,0,0.1111111111111111,-17.94,6
39,0,1,1,1,0,1,0,0,0,0.0,-21.990000000000002,1
40,1,0,0,0,1,0,1,1,1,0.0,-21.989999999999995,1
41,0,1,0,0,0,0,1,0,0,0.0,-21.98,7
42,1,0,1,1,1,1,0,1,1,0.0,-21.980000000000004,2
43,0,0,1,0,0,0,1,0,0,0.0,-21.6,1
44,1,1,0,1,1,1,0,1,1,0.0,-21.599999999999994,2
45,0,0,1,1,0,0,1,0,0,0.0,-21.53,2
46,0,1,1,0,0,1,0,0,0,0.0,-21.060000000000002,4
47,1,0,0,1,1,0,1,1,1,0.0,-21.05999999999999,2
48,1,1,0,0,0,1,0,0,1,0.0,-20.62,1
49,0,0,1,1,1,0,1,1,0,0.0,-20.619999999999997,2
50,1,1,1,0,0,0,1,1,1,0.0,-20.569999999999997,1
51,0,0,0,1,1,1,0,0,0,0.0,-20.57,2
52,1,1,0,0,0,1,0,1,0,0.1111111111111111,-24.689999999999998,2
53,0,0,1,1,0,0,1,0,1,0.0,-20.51,1
54,0,1,0,1,1,0,1,0,0,0.0,-20.47,2
55,1,0,1,0,0,1,0,1,1,0.0,-20.470000000000002,4
56,0,1,1,0,0,0,0,0,1,0.0,-20.26,4
57,0,1,0,1,1,1,1,0,0,0.0,-20.230000000000004,1
58,1,0,1,0,0,0,0,1,1,0.0,-20.23,3
59,1,1,0,0,0,1,0,0,1,0.1111111111111111,-20.62,1
60,0,0,1,1,1,0,1,1,0,0.1111111111111111,-20.619999999999997,2
61,0,0,0,1,1,1,0,0,1,0.0,-19.57,1
62,1,1,1,0,0,0,1,1,0,0.0,-19.569999999999997,4
63,0,1,1,0,1,0,1,0,1,0.0,-19.560000000000002,2
64,0,0,1,0,0,0,1,0,1,0.1111111111111111,-24.96,1
65,1,0,0,0,0,1,1,1,0,0.0,-19.109999999999996,1
66,0,0,1,1,1,0,1,0,1,0.1111111111111111,-24.689999999999998,1
67,0,0,1,1,0,0,1,1,1,0.0,-19.080000000000002,1
68,0,1,0,1,0,1,0,0,0,0.0,-18.59,2
69,1,1,0,0,0,1,0,1,1,0.1111111111111111,-22.669999999999998,1
70,0,1,0,0,1,0,1,0,1,0.0,-18.419999999999998,1
71,0,0,1,1,1,0,0,0,1,0.0,-17.81,2
72,0,0,1,0,1,0,1,0,1,0.0,-17.14,1
73,0,1,0,1,1,0,1,0,1,0.0,-17.069999999999997,1
74,0,0,0,1,1,1,0,1,0,0.0,-16.560000000000002,2
75,0,1,1,0,1,0,0,0,1,0.0,-16.520000000000003,1
76,0,1,1,0,0,1,1,0,1,0.0,-16.219999999999995,1
77,0,1,0,0,1,0,0,0,1,0.0,-16.04,1
78,0,1,0,1,0,1,1,0,0,0.0,-16.009999999999998,1
79,1,1,1,0,0,1,0,0,1,0.0,-15.120000000000001,1
80,1,0,1,0,0,1,1,1,1,0.0,-13.969999999999999,1
81,0,1,0,0,1,0,0,0,0,0.0,-13.459999999999999,1
82,1,0,1,0,0,0,1,0,0,0.1111111111111111,2.5999999999999996,1
83,1,0,1,0,0,0,1,1,1,0.1111111111111111,-30.649999999999995,1
